Augustus Pablo Assignment No 1	G minor (6A)
Augustus Pablo Jah Rock	C major (8B)
Augustus Pablo Lover's Mood	G# minor (1A)
Augustus Pablo Guiding Red (Bonus Track)	A minor (8A)
Gregory Isaacs Slave Master	B major (1B)
Gregory Isaacs Get Ready	C major (8B)
Gregory Isaacs Set The Captive Free	G major (9B)
Gregory Isaacs The Winner	A major (11B)
Gregory Isaacs Smile	F minor (4A)
Alix Perez Empty Words	C# major (3B)
The Shanti-Ites Let H.I.M Arise........	Bb major (6B)
The Shanti-Ites Arise Dub	A# minor (3A)
The Shanti-Ites Emotion	A# minor (3A)
The Shanti-Ites Emotion Dub	A# minor (3A)
Danny Red Rasta We Rasta	B minor (10A)
Forward Fever Africa To Hollywood Dub	Eb major (5B)
Manasseh Chilum Dub	E minor (9A)
Danny Red Nobody	A minor (8A)
Manasseh Somebody Version	D major (10B)
Danny Red You Don't Know	Ab major (4B)
Manasseh Knowing Version	Ab major (4B)
Manasseh Medicine Version	C major (8B)
Steely Dan Black Cow	D major (10B)
Steely Dan Aja	G major (9B)
Tenastelin & King Alpha Rasta Mission (Dub 1)	A minor (8A)
Tenastelin & King Alpha Rasta Mission (Dub 2)	D major (10B)
Tenastelin & King Alpha Animal Rights	Ab major (4B)
Tenastelin & King Alpha Animal Rights (Dub 1)	A minor (8A)
Tenastelin & King Alpha Animal Rights (Dub 2)	A minor (8A)
Alpha & Omega King And Queen	A minor (8A)
Alpha & Omega Mankind See	A major (11B)
Alpha & Omega The Lions Den	A major (11B)
Alpha & Omega Rasta Woman	A minor (8A)
Alpha & Omega Pure And Clean	F minor (4A)
Alpha & Omega Sharu Att Our Aunt (Beginning And End)	C# major (3B)
The Alan Parsons Project I Robot	F major (7B)
The Alan Parsons Project I Wouldn't Want To Be Like You	C# major (3B)
The Alan Parsons Project Some Other Time	A minor (8A)
U-Roy Follow Me	E major (12B)
The War On Drugs Up All Night	D major (10B)
The War On Drugs Pain	G minor (6A)
The War On Drugs Holding On	F# major (2B)
The War On Drugs Strangest Thing	E major (12B)
The War On Drugs In Chains	B major (1B)
The War On Drugs Clean Living	C# major (3B)
N-Tropic Impact (Ad Mix)	E minor (9A)
Noise Darkling Baby	A major (11B)
Four Carry Nuts Professor Hastig	B minor (10A)
Snug Big Block	A# minor (3A)
Rastaliens Bodyspeaker	F# minor (11A)
Rastaliens Weird Condios	F# minor (11A)
Rastaliens Grumble	G major (9B)
Rastaliens Fitz Fatz	G# minor (1A)
Rastaliens Mission Not Possible	C major (8B)
Rastaliens Twister	G major (9B)
Rastaliens Fat Flip	G major (9B)
Rastaliens Mr. Sandman	C# minor (12A)
Manu Chao Clandestino	F# minor (11A)
Manu Chao Desaparecido	A minor (8A)
Manu Chao Bongo Bong	A minor (8A)
Manu Chao Je Ne T'Aime Plus	A minor (8A)
Manu Chao Mentira...	F minor (4A)
Manu Chao Malegria	A minor (8A)
Manu Chao La Vie À 2	F minor (4A)
Manu Chao Minha Galera	E major (12B)
Manu Chao La Despedida	B minor (10A)
Manu Chao El Viento	E major (12B)
Bluetech Leaving Babylon	F# minor (11A)
Bluetech Prophetic Sines	F minor (4A)
Bluetech Triangle (Retriangulated)	G minor (6A)
Bluetech Lusitania	E minor (9A)
Bluetech Lights From Mariana	F minor (4A)
The Zombies Hung Up On A Dream	C major (8B)
The Zombies Changes	G major (9B)
The Zombies I Want Her She Wants Me	G major (9B)
The Zombies This Will Be Our Year	A major (11B)
The Zombies Butcher's Tale (Western Front 1914)	A minor (8A)
The Zombies Friends Of Mine	C major (8B)
Aries, Gold Dubs & Jinx ft Eva Lazarus Fall In Love	F# minor (11A)
Aries, Gold Dubs, Bevan & Andy Sim ft Lion Art Chem Trails	A minor (8A)
Wickedsquad Domo-Kun-Bogle	E minor (9A)
Sonic Boom Just Imagine	C major (8B)
Sonic Boom Just A Little Piece Of Me	C major (8B)
Santana Dance Sister Dance (Baila Mi Hermana)	F minor (4A)
Santana Take Me With You	A minor (8A)
Santana Let Me	D minor (7A)
Santana Gitano	A minor (8A)
Santana Tell Me Are You Tired	Ab major (4B)
Santana Europa (Earth's Cry Heaven's Smile)	C minor (5A)
Santana Let It Shine	D major (10B)
Simon & Garfunkel We've Got A Groovey Thing Goin'	C minor (5A)
Simon & Garfunkel I Am A Rock	C major (8B)
Chinese Man Pandi Groove	A# minor (3A)
Chinese Man Searching For The Space Monkey	B major (1B)
Chinese Man Eight Y Cinco	D major (10B)
Chinese Man Bunni Groove	F# minor (11A)
Leo Le Bug Washington Square	F# minor (11A)
Chinese Man You Suck Me	B minor (10A)
Chinese Man, Leo Le Bug Indi Groove	D major (10B)
Chinese Man Skank In The Air	G major (9B)
Chinese Man, Le Yan Artichaut	D# minor (2A)
Chinese Man More	F# minor (11A)
Chinese Man Chinese Man	F# major (2B)
Santana Singing Winds, Crying Beasts	C major (8B)
Santana Black Magic Woman / Gypsy Queen	D minor (7A)
Santana Oye Como Va	G major (9B)
Santana Incident At Neshabur	C major (8B)
Santana Se A Cabo	A# minor (3A)
Santana Mother's Daughter	Bb major (6B)
Santana Samba Pa Ti	A minor (8A)
Santana Hope You're Feeling Better	D major (10B)
Santana El Nicoya	A# minor (3A)
Bob Dylan Like A Rolling Stone	C major (8B)
Bob Dylan Blowin' In The Wind	D major (10B)
Bob Dylan The Times They Are A-Changin'	G major (9B)
Bob Dylan Subterranean Homesick Blues	E minor (9A)
Man With No Name Sugar Rush (Refined Mix)	A minor (8A)
Man With No Name Cosmic Echoes	A# minor (3A)
Tribe Of Issachar Wardance (Serial Killaz Vip Mix)	F# minor (11A)
Bob Marley And The Wailers Kinky Reggae	F major (7B)
Santana Jingo	G major (9B)
Santana Soul Sacrifice	G major (9B)
Santana With A Liitle Help From My Friends	E major (12B)
Santana Persuasion	F# major (2B)
Santana Latin Tropical	A minor (8A)
Santana Travellin' Blues	C minor (5A)
Santana Fried Neckbones And Some Home Fries	C minor (5A)
Kai Tracid Your Own Reality (Energy Mix)	G major (9B)
Kai Tracid Your Own Reality (Single Mix)	B minor (10A)
Kai Tracid Your Own Reality (Tracid Mix)	B minor (10A)
Kai Tracid Your Own Reality (Vocal Mix)	B minor (10A)
Vendetta & Barber & Bad Kid Bad Chill	E minor (9A)
Vendetta & Barber & Bad Kid More Gun	F minor (4A)
Vendetta & Barber & Bad Kid Soundboy Dead	C# major (3B)
Vendetta & Barber & Bad Kid Try To Conquer I	C# minor (12A)
The James Taylor Quartet Living	A major (11B)
The James Taylor Quartet Chasing Dragons	A minor (8A)
The James Taylor Quartet Can't Buy Joy	C major (8B)
The James Taylor Quartet First Time	C# major (3B)
The James Taylor Quartet Outta Sight	G major (9B)
The James Taylor Quartet Change Your Mind	A major (11B)
The James Taylor Quartet Starship	D minor (7A)
The James Taylor Quartet Tko	A major (11B)
The James Taylor Quartet Mr C	D minor (7A)
Nirvana Come As You Are	E minor (9A)
Nirvana Breed	E major (12B)
Nirvana Territorial Pissings	D major (10B)
Nirvana Drain You	B minor (10A)
Conscious Sounds Dub Next Door	G major (9B)
Conscious Sounds Hard Road	A# minor (3A)
Shy FX & T Power Feelings	E minor (9A)
Shy FX & T Power Everyday	Eb major (5B)
Shy FX & T Power Feelings (Instrumental)	F major (7B)
Benny Page Rub A Dub	C# major (3B)
Benny Page Urban Tribe	G major (9B)
Dope Ammo vs Soundclash Roots + Future	A# minor (3A)
Dope Ammo Dub Criminal	F# major (2B)
Gang Related Rukus	A# minor (3A)
Gang Related Vibration	A# minor (3A)
Gaudi With Mad Professor Cinematic Dub	C# minor (12A)
DJ Panik & M-Rode Truth & Rights	C# major (3B)
Jera Precious	D major (10B)
Dijeyow Good Sensi	G major (9B)
Mooncat & Dijeyow Glock - War Gun War	C# minor (12A)
Ricky Tuff Feat. Dijeyow Herbalist	E minor (9A)
Run Tingz Cru Tempa	G major (9B)
Dijeyow & Jera Feel Good	G major (9B)
Isaac Maya, Daddy Freddy Move Ur Body	F# major (2B)
DJ Panik Feat Dijeyow Gangster	B major (1B)
Kitachi Meet Iration Steppas Scratch (Fling Foot Mix)	D# minor (2A)
Kitachi Meet Iration Steppas Scratch (Raw Stretch Foot Mix)	A minor (8A)
Sweet Smoke Silly Sally	D major (10B)
Sweet Smoke Baby Night	C# minor (12A)
The Doors The Changeling	G# minor (1A)
The Doors Break On Through (To The Other Side)	A major (11B)
St Germain Deep In It	Bb major (6B)
St Germain Thank U Mum (4 Everything You Did)	F# major (2B)
St Germain Street Scene (4 Shazz) (Jazz-Hop Remix)	G# minor (1A)
St Germain Easy To Remember	A# minor (3A)
St Germain Dub Experience II	G# minor (1A)
St Germain Forget It	G major (9B)
CJ Bolland The Prophet (Jericho Mania)	E minor (9A)
CJ Bolland The Prophet (Original Mix)	D major (10B)
CJ Bolland The Prophet (Hardknox Mix)	A major (11B)
Tame Impala Let It Happen	C# minor (12A)
Tame Impala It Is Not Meant To Be	C major (8B)
Tame Impala Desire Be Desire Go	C# major (3B)
Tame Impala Alter Ego	C major (8B)
Tame Impala Lucidity	E major (12B)
Tame Impala Jeremy's Storm	Eb major (5B)
Manmademan Lunar Lammas	G# minor (1A)
Serial Killaz Mash You Down	A major (11B)
Serial Killaz Live From Studio 1	C# minor (12A)
Nirvana About A Girl	F# minor (11A)
Nirvana Pennyroyal Tea	C# minor (12A)
Nirvana Dumb	F# major (2B)
Nirvana Plateau	E major (12B)
Nirvana Oh Me	Ab major (4B)
Nirvana Lake Of Fire	C# minor (12A)
Nirvana All Apologies	C# major (3B)
Nirvana Where Did You Sleep Last Night	Eb major (5B)
Filteria Dog Days Bliss	Ab major (4B)
Triquetra Voyager	C minor (5A)
Agneton 1001 Nights	D major (10B)
Psilocybe Project Dream Shaper	A major (11B)
DJ Jape du Marie & Jack Wax Rise Above This	C minor (5A)
Shivax Supernatural	C# major (3B)
The Congos Fisherman	E minor (9A)
The Congos Congoman	A# minor (3A)
The Congos Open Up The Gate	A minor (8A)
The Congos Children Crying	Ab major (4B)
The Congos La La Bam-Bam	F# major (2B)
The Congos Can't Come In	C# major (3B)
UB40 Burden Of Shame	B minor (10A)
UB40 Adella	C major (8B)
UB40 I Think It's Going To Rain Today	Bb major (6B)
UB40 25%	C minor (5A)
UB40 Food For Thought	G major (9B)
UB40 Little By Little	G minor (6A)
UB40 Signing Off	B minor (10A)
UB40 Madam Medusa	G# minor (1A)
UB40 Strange Fruit	B minor (10A)
UB40 Reefer Madness	A minor (8A)
Jacob Miller Jah Dread	B minor (10A)
Jacob Miller Each One Teach One	C major (8B)
Jacob Miller Each One Teach One Version	A# minor (3A)
Jacob Miller Girl Name Pat	Ab major (4B)
Jacob Miller Girl Name Pat Version	Ab major (4B)
Clint Eastwood & General Saint Stop That Train	F# minor (11A)
Clint Eastwood & General Saint Monkey Man	A minor (8A)
Pink Floyd Waiting For The Worms	G major (9B)
Pink Floyd Stop	A minor (8A)
Pink Floyd The Trial	E minor (9A)
Pink Floyd Outside The Wall	C major (8B)
Pink Floyd Speak To Me	C# major (3B)
Pink Floyd Breathe	B minor (10A)
Pink Floyd On The Run	A major (11B)
Pink Floyd Time	A major (11B)
Pink Floyd The Great Gig In The Sky	F major (7B)
Pink Floyd Money	B minor (10A)
Pink Floyd Us And Them	D major (10B)
Pink Floyd Any Colour You Like	C major (8B)
Pink Floyd Brain Damage	D major (10B)
Pink Floyd Eclipse	Bb major (6B)
King Gizzard & The Lizard Wizard The River	E major (12B)
King Gizzard & The Lizard Wizard Infinite Rise	A minor (8A)
King Gizzard & The Lizard Wizard God Is In The Rhythm	C major (8B)
King Gizzard & The Lizard Wizard Lonely Steel Sheet Flyer	F major (7B)
Benny Page Feat. Topcat Sound Fi Dead	G major (9B)
